% Model,GRIN_Paper_Design_Unit_Cells_200127.mph
% Version,COMSOL 5.4.0.388
% Date,"Feb 16 2020, 18:45"
% Table,"Table 4 - Global Evaluation 1 (T_mag, R_mag, T_Phase, R_Phase, T, R)"
% Pillar_a (mm),freq (Hz),T_mag (1),R_mag (1),T_Phase (deg),R_Phase (deg),T (1),R (1)
1.2,2800,0.9966312600572355,0.026020482186489325,-38.85067763401696,58.225456637810055,0.7761599155043949-0.6251796974370517i,0.013701816964644028+0.022120707608139514i
1.2,2900,0.9964808605463586,0.027231371868730682,-40.21991616331269,56.30635266261537,0.7608845046967021-0.6434507564279226i,0.015106662941933543+0.022656927166143i
1.2,3000,0.9963520172160742,0.028426407759016524,-41.5885189582814,54.36273723964772,0.7452026745046118-0.6613549093502777i,0.016562693483264713+0.02310276699145138i
1.3000000000000003,500,1.0024700549420191,0.003353491246886303,-7.065527349985804,42.516762450037966,0.9948574221414046-0.123308234378788i,0.0024717901700511617+0.002266309091492487i
1.3000000000000003,600,1.0022694252719275,0.00383683080744286,-8.464777567060983,52.135447066458205,0.9913512453123505-0.14753545083325487i,0.0023550348611227428+0.003029039690700538i
1.3000000000000003,700,1.0020517005016905,0.004451146343744245,-9.863060694692521,59.48377729636005,0.9872413425539623-0.1716453961823022i,0.002260213345610762+0.003834597684992621i
1.3000000000000003,800,1.0018183424912301,0.00517271041350399,-11.2603054270309,64.89851391070079,0.9825335146010519-0.19562178824860027i,0.0021943822666744927+0.0046841882423400896i
1.3000000000000003,900,1.001570900297197,0.00598336839508872,-12.65644763994673,68.78838359610208,0.977234103828835-0.2194487972990321i,0.0021648639763850097+0.005577997966573406i
1.3000000000000003,1000,1.0013109983436583,0.0068699241463267054,-14.05143063818386,71.50663746312587,0.9713499489713294-0.24311106934356022i,0.002179104182407519+0.00651516406075064i
1.3000000000000003,1100,1.0010403248953998,0.007822684192647015,-15.445205332765934,73.32602580531726,0.9648883393863044-0.2665937444559188i,0.002244526890919222+0.00749376320775016i
1.3000000000000003,1200,1.000760620996747,0.008834213604979341,-16.837730358459442,74.44918920065174,0.9578569694326744-0.2898824704031747i,0.002368389357456381+0.008510820281846482i
1.3000000000000003,1300,1.0004736699953891,0.009898474793529668,-18.228972141520618,75.02561084694008,0.9502638934282022-0.3129634119201751i,0.0025576397463730155+0.009562336647802941i
1.3000000000000003,1400,1.0001812877304121,0.011010274872468369,-19.618904929833334,75.16634588987004,0.9421174815489922-0.335823256022941i,0.0028187801263919485+0.010643337416730061i
1.3000000000000003,1500,0.9998853133809682,0.012164921759652279,-21.00751079769611,74.95501918050333,0.9334263768906442-0.35844921375246735i,0.003157737280861467+0.011747936698991834i
1.3000000000000003,1600,0.9995876009529034,0.01335801350239469,-22.39477963609602,74.45561815774954,0.9241994538436693-0.38082901871291835i,0.003579743680735283+0.012869419563849594i
1.3000000000000003,1700,0.9992900113051184,0.014585311224070592,-23.780709138920365,73.71792811389122,0.9144457778172759-0.4029509227267522i,0.004089230729365625+0.014000339122500264i
1.3000000000000003,1800,0.9989944045877713,0.015842664604761438,-25.165304793227808,72.78132454451313,0.9041745662929165-0.4248036888572086i,0.004689736159119653+0.015132626888177958i
1.3000000000000003,1900,0.9987026329312323,0.017125970646603532,-26.548579879485377,71.67744082847649,0.8933951511463796-0.4463765819707764i,0.005383827180749271+0.016257714337389224i
1.3000000000000003,2000,0.9984165331915424,0.018431153780103585,-27.930555484667515,70.43206723534811,0.8821169421556868-0.46765935691710386i,0.006173040681155868+0.017366663422045736i
